x_cm,y_cm
23.467492,-0.1385
23.700782,-0.1385
23.934071,-0.1385
24.167361,-0.1385
24.400651,-0.1385
24.633941,-0.1385
24.867231,-0.1385
25.100521,-0.1385
25.333811,-0.1385
25.567101,-0.1385
25.800391,-0.1385
26.033681,-0.1385
26.266971,-0.1385
26.500261,-0.1385
26.73355,-0.1385
26.96684,-0.1385
27.20013,-0.1385
27.43342,-0.1385
27.66671,-0.1385
27.9,-0.1385
