Cam1,Cam2,Temp,Press,Alt,Accel_x2,Accel_y2,Accel_z2,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Quaternion_1,Quaternion_2,Quaternion_3,Quaternion_4,Stage,Time
0,0,25.7589626,910.5270386,892.6534424,-0.3530394,8.237586,-62.0172577,6.2237315,-1.8807585,-63.77351,-0.2508588,0.0120171,0.0113006,7.2472239,29.2811222,24.6639385,-0.0418848,0.821677,0.5671856,0.0372105,0,2538384
0,0,25.7596722,910.4975586,892.9215698,0.3530394,-1.7651969,-67.6658859,4.3142595,1.5720845,-70.8945465,-0.1152467,-0.0283,0.3228419,6.7796612,29.9824657,25.4237289,-0.0418212,0.8216656,0.5672063,0.0372126,0,2538410
0,0,25.7588902,910.4575806,893.2839966,0.588399,1.5298375,-65.5476532,-1.8376877,-4.0199418,-65.1589508,-0.0419429,-0.0649519,0.4914407,6.6043248,29.2226753,25.189949,-0.0417824,0.8216674,0.5672168,0.0370607,0,2538436
1,0,25.7587433,910.4272461,893.5598145,-0.1176798,1.8828769,-63.7824516,2.6488547,4.3860435,-59.6243591,0.1303211,-0.0478477,0.5109884,7.0134425,29.3395672,25.189949,-0.0416573,0.8216659,0.5672272,0.0370714,0,2538462
0,0,25.7586346,910.3807373,893.9820557,1.7651969,-4.2364726,-65.1946106,-9.6191473,4.3142595,-61.892746,-0.0847034,-0.0356304,0.2519815,8.7083578,29.573349,24.6054935,-0.0413669,0.8216924,0.5672234,0.0368693,0,2538488
1,0,25.7582512,910.322998,894.5057373,-2.353596,-5.2955914,-66.9598083,-1.5361921,-5.7499523,-71.8277512,0.0215871,-0.0356304,0.1346954,7.2472239,28.6382236,24.7223835,-0.0413428,0.8216954,0.5672315,0.0367044,0,2538513
1,1,25.7579784,910.2738037,894.9526978,1.7651969,-0.2353596,-61.7818947,2.9862425,0.7609176,-71.5549698,-0.0834817,-0.0502911,0.1298085,7.7732315,28.9304504,25.0146122,-0.0412587,0.8216984,0.5672357,0.0366659,0,2538539
1,0,25.7574692,910.2214355,895.4281616,1.4121575,-0.9414384,-69.4310837,-1.8233308,5.2187462,-68.5471954,-0.0260604,-0.046626,0.1420258,7.1303329,29.2811222,25.1315022,-0.0410746,0.821694,0.5672593,0.0366107,0,2538565
LAUNCHED,,,,,,,,,,,,,,,,,,,,,,
1,0,25.7576694,910.180542,895.7994385,0.2353596,-1.2944778,-72.7261124,2.1678972,3.0652056,-75.7184753,-0.0737079,-0.0331869,0.1261433,7.7147865,29.5149021,24.7223835,-0.0409573,0.8216922,0.5672718,0.0365837,0,2538593
0,0,25.757103,910.1185913,896.3621826,-1.0591182,5.6486301,-70.3725204,-2.8426735,8.3054876,-75.9338303,-0.0162865,-0.0368521,0.1041521,7.5978956,29.4564571,24.6639385,-0.0407281,0.8216909,0.5672932,0.036538,0,2538623
0,0,25.7549171,910.041626,897.0609741,-0.7060788,2.7066355,-73.6675568,0.4666004,2.5411777,-73.5936508,-0.0675992,-0.0234131,0.0784958,7.0134425,29.1642303,24.4886017,-0.0406124,0.8216809,0.567319,0.0364909,0,2538649
1,1,25.7528591,909.9727783,897.6868286,-1.176798,0.588399,-71.078598,-2.3904297,-1.4285151,-77.5920639,-0.0566036,-0.0234131,0.077274,7.4225597,29.3980122,24.4886017,-0.0405202,0.821679,0.5673365,0.0363646,0,2538674
